sk_ramo_atividade,etl_versao,etl_dt_inicio,etl_dt_fim,nk_ramo_atividade,de_ramo_atividade,de_ramo_atividade_cnae,de_divisoes_cnae,cd_cnae
383,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4618403                                                        ,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE JORNAIS, REVISTAS E OUTRAS PUBLICACOES                                                                                                                                                                 ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
384,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4618499                                                        ,OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE                                                                                                                                          ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
385,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4619200                                                        ,REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO                                                                                                                                                                 ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
386,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623101                                                        ,ATIVIDADES VETERINARIAS                                                                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
387,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623102                                                        ,"COMERCIO ATACADISTA DE COUROS, LAS, PELES E OUTROS SUBPRODUTOS NAOCOMESTIVEIS DE ORIGEM ANIMAL                                                                                                                                                            ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
388,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623103                                                        ,COMPRA E VENDA DE IMOVEIS PROPRIOS                                                                                                                                                                                                                        ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
389,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623106                                                        ,PRODUCAO DE SEMENTES CERTIFICADAS DE FORRAGEIRAS PARA FORMACAO DE PASTO                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
390,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623108                                                        ,COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS                                                                                                                                                                                                             ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
391,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623109                                                        ,COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS                                                                                                                                                                                                             ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
515,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4759801                                                        ,"COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS                                                                                                                                                                                          ",NA                                                                                                                                                                                                                                                        ,COMERCIO VAREJISTA                                                                                                                                                                                                                                        ,47
392,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4623199                                                        ,COMERCIO ATACADISTA DE MATERIASPRIMAS AGRICOLAS NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                           ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
393,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4631100                                                        ,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
394,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4632001                                                        ,COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS                                                                                                                                                                                                 ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
395,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4632002                                                        ,"COMERCIO ATACADISTA DE FARINHAS, AMIDOS E FECULAS                                                                                                                                                                                                         ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
396,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4632003                                                        ,"COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS                                                                                                                                                                 ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
397,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4633801                                                        ,"COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS                                                                                                                                                                 ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
398,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4633802                                                        ,COMERCIO ATACADISTA DE AVES VIVAS E OVOS                                                                                                                                                                                                                  ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
399,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4634601                                                        ,COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS                                                                                                                                                                                                          ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
400,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4634602                                                        ,COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS                                                                                                                                                                                                ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
401,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4634603                                                        ,COMERCIO ATACADISTA DE CARNES E DERIVADOS DE OUTROS ANIMAIS                                                                                                                                                                                               ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
402,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4634699                                                        ,COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR                                                                                                                                                                                                           ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
403,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4635401                                                        ,COMERCIO ATACADISTA DE AGUA MINERAL                                                                                                                                                                                                                       ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
404,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4635402                                                        ,COMERCIO ATACADISTA DE BEBIDAS NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                            ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
405,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4635403                                                        ,COMERCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA                                                                                                                                                                ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
406,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4635499                                                        ,"COMERCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE                                                                                                                                                                                                      ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
407,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4636201                                                        ,COMERCIO ATACADISTA DE FUMO BENEFICIADO                                                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
408,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4637101                                                        ,"COMERCIO ATACADISTA DE CAFE TORRADO, MOIDO E SOLUVEL                                                                                                                                                                                                      ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
409,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4637102                                                        ,"COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA                                                                                                        ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
410,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4637105                                                        ,COMERCIO ATACADISTA DE MASSAS ALIMENTICIAS                                                                                                                                                                                                                ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
411,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4637106                                                        ,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS                                                                                                                                                                                                       ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
412,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4637107                                                        ,"COMERCIO ATACADISTA DE CHOCOLATES, CONFEITOS, BALAS, BOMBONS E SEMELHANTES                                                                                                                                                                                ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
413,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4637199                                                        ,"COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE, LIMPEZA E CONSERVACAO DOMICILIAR                                                                                                                                                                              ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
414,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4639701                                                        ,COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL                                                                                                                                                                                                     ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
415,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4639702                                                        ,"COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA                                                                                                                                        ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
416,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4641901                                                        ,COMERCIO ATACADISTA DE TECIDOS                                                                                                                                                                                                                            ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
417,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4641903                                                        ,COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE                                                                                                                                                         ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
418,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4642701                                                        ,"COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS, EXCETO PROFISSIONAIS E DE SEGURANCA                                                                                                                                                             ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
419,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4642702                                                        ,COMERCIO ATACADISTA DE ROUPAS E ACESSORIOS PARA USO PROFISSIONAL E DE SEGURANCA DO TRABALHO                                                                                                                                                               ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
420,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4643501                                                        ,COMERCIO VAREJISTA DE CALCADOS                                                                                                                                                                                                                            ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
421,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4643502                                                        ,COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM                                                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
422,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4644301                                                        ,"COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS                                                                                                                                                  ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
423,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4645101                                                        ,"COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS                                                                                                                                                  ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
424,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4645102                                                        ,COMERCIO ATACADISTA DE PROTESES E ARTIGOS DE ORTOPEDIA                                                                                                                                                                                                    ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
425,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4645103                                                        ,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO                                                                                                                                                                    ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
426,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4646001                                                        ,COMERCIO ATACADISTA DE COSMETICOS E PRODUTOS DE PERFUMARIA                                                                                                                                                                                                ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
427,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4646002                                                        ,COMERCIO ATACADISTA DE EMBALAGENS                                                                                                                                                                                                                         ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
428,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4647801                                                        ,COMERCIO ATACADISTA DE ARTIGOS DE ESCRITORIO E DE PAPELARIA                                                                                                                                                                                               ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
429,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4647802                                                        ,"COMERCIO ATACADISTA DE LIVROS, JORNAIS E OUTRAS PUBLICACOES                                                                                                                                                                                               ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
430,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4649401                                                        ,COMERCIO ATACADISTA DE SUPRIMENTOS PARA INFORMATICA                                                                                                                                                                                                       ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
431,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4649402                                                        ,COMERCIO ATACADISTA DE APARELHOS ELETRONICOS DE USO PESSOAL E DOMESTICO                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
432,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4649403                                                        ,"COMERCIO ATACADISTA DE BICICLETAS, TRICICLOS E OUTROS VEICULOS RECREATIVOS                                                                                                                                                                                ",ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
433,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,4649404                                                        ,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS                                                                                                                                                                                                   ,ATACADO                                                                                                                                                                                                                                                   ,"COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS                                                                                                                                                                                          ",46
